"uniqueID","qid","title","poster","date","replyTo","content"
19,10,"The Growl-ly Hour! Handling Hungry Kids...","Haylen_WebMD_Staff","2011-02-15 18:41:17","<ORG>","Popcorn is a big fave with my kids - just saw a post from the WebMD Healthy Recipe Doctor Finding the \"Just Right\" Popcorn Now I need a snack :) Haylen"
20,11,"High BMI on a three year old","nursingbug","2011-02-15 14:41:24","<INIT>","I just took my daughter for her 3 year old well visit yesterday. She has always been above the 90th percentile for height and weight,(she looks like she is 4) but apparently she made a gain even above that. The pedi is concerned about her weight. Not terribly, but he advised me to write down everything she eats for a week and see what could be cut back. I was frustrated because I thought I was feeding her well, whole foods, not many sweets, etc. Started talking with my mil, who keeps her through the week while I am at work. Turns out she lets my daughter have 3+ cups of juice every day! she is with her 4 days a week, so that is about 12 cups of juice a week, I figure about 100 cals each. 1200 additional calories a week! no wonder she is overweight! anyone else have a similar experience?"
21,11,"High BMI on a three year old","Haylen_WebMD_Staff","2011-02-15 19:00:30","<ORG>","Hi nursingbug - Thanks for sharing! How did your MIL react? Will she be on board with cutting out juice? That was a great suggestion from the pediatrician. I just watched a slide show about juice on the front page of WebMD right before I saw your post because my 2 year old is CRAZY for the stuff. This surprised me: For kids younger than 6, the AAP recommends no more than 4 to 6 ounces of pure fruit juice per day. That is one tiny glass. Please check back in and let us know how she does without juice and if her weight drops as a result. I<APO>m interested to hear if other members have been through this too! Haylen p.s. See the entire slideshow about juice here: Juice Wars Slideshow"
22,11,"High BMI on a three year old","nursingbug ","2011-02-15 19:56:07"," Haylen_WebMD_Staff","I think she will be ok- I brought it up casually- told her the doctor was concerned about her weight, and wanted us to write down what she ate for a week. Then I mentioned that I thought I gave her too much soda on the weekend, and said that the doctor recomended no more than 2 servings of juice/soda in a WEEK. Then she came out herself and said, \"oh, I give her 3 servings a day, what should I give her- Milk?\" How about water? lol I don<APO>t have a follow up with the pedi for 6 months, but I am tempted to get her in after a few months of no juice, at this point I am thinking that is all she will need to be normal. This is a big deal to me, I have always been overweight and one of my main goals for her is to not have the issues that I do."
23,11,"High BMI on a three year old","Haylen_WebMD_Staff ","2011-02-16 11:31:44"," nursingbug","I think a follow up is a great idea! I<APO>m going to guess you will see a difference. Also, how is her physical activity? I found a very inexpensive gymnastics class at our local YMCA. It<APO>s only once a week but suddenly my 2.5 year old is jumping around and \"practicing\" her moves. I<APO>m surprised that the doctor would OK any soda for a 3 year old - what kind does she drink? Haylen"
24,11,"High BMI on a three year old","nursingbug ","2011-02-16 00:23:38"," Haylen_WebMD_Staff","I give her sprite, before maybe 2 times a week, when we go out. I don<APO>t want her to have caffine, or the diet stuff really either. Nutritionally there isn<APO>t much difference between juice and soda, sugar is sugar really. This winter has been terrible for activity. I have thought about a class, but don<APO>t know how we would get her to it, between my husband and my schedule, and my mil watches her other granddaughter. She will get out this week though, it is so nice, and next winter she is going to preschool!"
25,11,"High BMI on a three year old","jhilton1 ","2011-02-17 14:53:12"," nursingbug","Reducing the juice is a step in the right direction! I would say you should probably cut the soda too. Adults shouldnt even drink it, its not something I would ever put into a 3 year old<APO>s little body. keeping a food journal, and having your MIL do the same so you can see what she is eating all day every day."
26,11,"High BMI on a three year old","Christopher Tiongson, MD ","2011-02-17 18:19:36"," jhilton1","Hello, everyone. My first post. Cutting out the sugary drinks is definitely a great step to take. It is one of the top 4 things that make a difference for kids: zero (or almost zero) sugary drinks per day. Sport drinks are just as bad from a sugar and calorie standpoint. They seem so healthy since athletes endorse them, but they really aren<APO>t any better to sip at snack or meal time."
27,12,"Energy Drinks - Do You Let Your Kid Caffeinate?","Haylen_WebMD_Staff","2011-02-17 11:19:47","<INIT>","A new article published in the online journal Pediatrics, sounded the alarm about kids and caffeine! Children are ending up with some serious health issues - including overdoses! It appears those black and neon cans of energy drinks are popular with teens, tweens AND little ones under 6. Read the article here: http://children.webmd.com/news/20110214/report-finds-energy-drinks-are-risky-for-kids Personally, my kids get close to zero caffeine. A childless friend took my 6 year old to lunch and she slurped down a huge iced tea. I had to practically scrape her off the ceiling to get her to bed. I<APO>d love to hear how parents in this community feel about giving caffeine to kids. How old are your kids and how much caffeine, if any, do they consume? And do YOU have a caffeine addiction? Haylen p.s. Anyone out there \"mature\" enough to remember that soda called Jolt? All of the sugar and twice the caffeine! All my teachers in high school drank it!"
28,12,"Energy Drinks - Do You Let Your Kid Caffeinate?","mom2quads","2011-03-07 16:03:22","<ORG>","Ok, ok, ok...you got me...my name is <APO>mom2quads<APO> and I have a severe caffeine addiction. I once did a 12-week workout and eating plan where there was no soda/tea/coffee allowed. It was the longest 12-weeks of my life. I hate to admit this, but my children notice I cannot go one day without my can of Dr. Pepper or Coca-Cola. I have finally limited myself to one 12 ounce can per day, but I know how very unhealthy that is. The worst part is that my kids think they should get to have one can of soda per day because mommy does. This is very tough for me because I do not want them to become \"caffeine addicts\" like me. I recently started having my \"one soda per day\" while I am at work and drinking only water or milk when home with my children. Trying to set a healthier example. But on the weekends, they see my soda. My husband and I reluctantly allow our children to have one 12 ounce can every 2 - 3 days. ((He rarely drinks soda himself. He has so much more self control than I do.)) I get so mad at myself because I started this with them. I know I need to just call it quits myself and stop allowing them to have it as well. Easier said than done though. Dr. Pepper runs through my veins.... And yes, I remember Jolt! Wow...it was a lot more caffeine than Mountain Dew is today!"
29,12,"Energy Drinks - Do You Let Your Kid Caffeinate?","Haylen_WebMD_Staff ","2011-03-07 16:26:02"," mom2quads","Do you have QUADS? If so, go enjoy your soda - no judgment here - ha, ha! Did you try caffeine-free after your 12 weeks? I love coffee and wonder if I could kick the caffeine addiction then switch to decaf or green tea or some other healthier alternative. Would love to hear you (and other parents) chime in on how to make or break a family habit. I<APO>m trying to get my family (mostly the husband) more active. I wonder if a chart with a \"family reward\" would help? What do you think? Dr. Pepper always my fave....Haylen Haylen"
30,12,"Energy Drinks - Do You Let Your Kid Caffeinate?","Foreverinyoureyes2","2011-03-07 21:06:13","<ORG>","I am a former soda-addict so I can so relate! I decided that I absolutely had to cut the soda habit because I don<APO>t care for diet drinks, and the calories in regular soda we causing me to put on unwanted weight. I worked to develop a taste for unsweet tea, and I have 1 glass per day w/ lunch. I also have 2 cups of coffee per day, so I cannot say I have kicked the caffeine habit. In order for me to not indulge in soda, we simply cannot have it in the house. I have not purchased soda for the house on a regular basis in years. I do allow the kids to have soda on special occasions though. When we celebrate a birthday or holiday, and once a month we have pizza/movie night and I will get a 2 liter of soda then. My older kids make their own decisions when they are out w/ friends or at sleep overs or whatnot. I try not to make it a big deal. I figure if it isn<APO>t a staple in our home, it is ok for them to see that it is in some homes, and that every family makes their own individual choices about food, nutrition and eating. On a side note, when I was a child we had soda in the house at all times, and I had free access to it. Did not even have to ask...And I can remember getting older and feeling frustrated that noone in my family ever told me about caffeine and its affects, because I used to have a terrible time sleeping, lying awake for hours, and none of the adults in my life ever mentioned that the BOTTLE (remember glass bottles of soda?!) of regular Coca-Cola I consumed right before bed was the reason I could not sleep."
31,12,"Energy Drinks - Do You Let Your Kid Caffeinate?","Haylen_WebMD_Staff ","2011-03-08 13:25:24"," Foreverinyoureyes2","Foreverinyoureyes - Your side note hit home for me (and I<APO>m sure many other parents)! My parents never discussed food, nutrition, benefits of exercise with me. CONGRATS on breaking the soda habit. I agree that \"special occasions\" can be a reason to have soda or other treats. I just received a link to this article in one of my WebMD newsletters . Of course it spoke to me as I struggle with my coffee consumption: Coffee and Your Health . What do you think? Haylen"
32,12,"Energy Drinks - Do You Let Your Kid Caffeinate?","mom2quads ","2011-03-10 15:11:46"," Haylen_WebMD_Staff","Yep, I really have quads. They are turning 8 next week...*sniffle sniffle*! No, I didn<APO>t try caffeine-free after the 12 weeks, although now I wish I would have. If I ever break this habit, I plan on switching to decaf coffee. I am not a tea drinker, so I don<APO>t have to worry there. My plan to break the habit for myself, and lead by example for my children is this: - allow them to continue to dwindle our current supply down, working them toward a rate of only one can per child per week (I will exercise self-control and drink only water and milk at home) - slowly continue to wean myself off soda while at work. Very tough!!!! - Maybe buy the Crystal Light individual drink mix packets for my bottle of water? ((Had water at a friends house that she kept in a pitcher in fridge with sliced cucumbers in it. Very refreshing!!!)) - Talk to my children about the effects of regular caffeine consumption and overindulgence. Will make it clear that once in a while it is ok to enjoy one, but not daily or even every-other-day. Maybe once a week treat, like on a Saturday. And when we dine out, which is very rare. I like the idea of a family reward chart! I may steal your idea!! Jeannie"
33,12,"Energy Drinks - Do You Let Your Kid Caffeinate?","Haylen_WebMD_Staff ","2011-03-14 11:38:43"," mom2quads","Happy birthday to your quads!!!!! Did you have a party? How do you manage the guest list?!? Have you started any of your caffeine reduction activities yet? I<APO>m thinking of switching to tea in the morning...just thinking... Haylen"
34,12,"Energy Drinks - Do You Let Your Kid Caffeinate?","mom2quads ","2011-03-22 09:59:08"," Haylen_WebMD_Staff","Thank you for the birthday wishes! They had way too much fun...and got too many noisy toys/games. HA! We had a great party! My son wanted a WipeOut cake and my girls wanted puppy/kitty/princess cake. So I spent a whole day before the party just making cakes. They turned out really cute! Our guest list mostly consists of family and a couple close friends. Usually around 35 or 40 people come. And this year the weather was amazing so we had all the activities outside...yay! Yes, we have started the caffeine reduction, and it is very difficult. I have created little soda addicts!!!! I<APO>m thinking about purchasing caffeine-free soda<APO>s for the days when they are allowed to have pop. I think root beer, sprite, crush, and fanta are all caffeine-free and there are enough flavors they shouldn<APO>t get bored with it. I have been very good and drinking only water and milk at home, even on the weekends. Unfortunately, while we were on Spring Break I did have a few pops. Oooops...."
35,12,"Energy Drinks - Do You Let Your Kid Caffeinate?","eliguns841984","2011-03-23 10:59:06","<ORG>","No soda for my son-EVER. But, with that being said...he<APO>s only 2 1/2. When he is a bit older, I will probably allow it from time to time, but I will typically probably try to stick to the caffeine free stuff. Life happens and older kids are going to eventually have some caffeine, but it should certainly, in my opinion, be limited."
36,12,"Energy Drinks - Do You Let Your Kid Caffeinate?","jhilton1 ","2011-03-24 09:38:28"," eliguns841984","Our kids dont drink anything besides water at home. they get occasional soy milk, and orange juice. Once in a great while (every month- 2 months) they can get a sprite if we go out to eat, but thats it, only the clear pop. And only as a treat"
37,12,"Energy Drinks - Do You Let Your Kid Caffeinate?","Haylen_WebMD_Staff ","2011-03-25 11:54:59"," jhilton1","For those parents struggling with caffeine, check out this informative slide show: Myths & Facts About Caffeine I got 8 wrong, 8 right - 50%! A failing score! How did you do? Haylen"
38,12,"Energy Drinks - Do You Let Your Kid Caffeinate?","mom2quads ","2011-03-25 15:47:37"," Haylen_WebMD_Staff","10 of 17....59%. Not too good. On a side note... I have cracked down more on my critters at home on caffeine consumption. They are noticing that I am drinking a lot of water and milk, and no soda at home in evenings (with the exception of this past weekend and spring break as noted in my previous post). Baby steps....baby steps....I am getting there!"
39,13,"Dr. Tiongson, I have a question about BMI","nursingbug","2011-02-17 20:26:14","<INIT>","Hi! I was the one that posted about my 3 year old with the high bmi- it was 96%. Can you tell me what a normal BMI is for a child this age? or is it still one of those percentille growth things, where you just want to make sure they are consistently in the same place? Her doctor showed me her growth pattern on a chart, and even though she is always in the 90ish percentile, he said she had gained more than would even be expected for her. Any additional information would be appreciated! thanks!"
40,13,"Dr. Tiongson, I have a question about BMI","Christopher Tiongson, MD","2011-02-21 22:08:08","<ORG>","Youare correct. It is a percentile-based measurement. The pattern for a kid BMI is like a wave through childhood. Toddlers are natually a bit heavier relative to their height and have a bit less muscle mass relative to their weight. As kids become preschoolers they start to slim down. As children approach puberty both the boys and girls start to add muscle mass (which is a healthy increase in BMI) and the girls start go through their body changes, the BMI goes up again. This change over time means that we have to follow percentiles to track whether the height and weight are a healthy match. For example, 50%ile for a 2 yr old girl is a BMI of 16.4. By age 3 the 50%ile drops to 15.8 And by age 15 it is 20. It<APO>s easier to follow on the graph. Here<APO>s the BMI chart for girls http://www.cdc.gov/growthcharts/data/set1clinical/cj41c024.pdf Here it is for boys http://www.cdc.gov/growthcharts/data/set1clinical/cj41c021.pdf And to top it all off, BMI is not just a simple ratio of weight to height. It is actually weight per body surface area (which is related to height.) So while a 90%ile height and 90%ile weight would seem to be exactly proportional (i.e. 50%ile BMI) the numbers don<APO>t come out that way. It would be more like 85-90%ile BMI."
41,13,"Dr. Tiongson, I have a question about BMI","Christopher Tiongson, MD ","2011-02-21 22:10:39"," Christopher Tiongson, MD","sorry, wrong link for the boys chart here<APO>s the right one http://www.cdc.gov/growthcharts/data/set1clinical/cj41c023.pdf"
42,13,"Dr. Tiongson, I have a question about BMI","normarae5 ","2011-02-25 21:30:35"," Christopher Tiongson, MD","This was really helpful...I was just reading different post and ran across this one. Thanks"
43,14,"Food Portion","futureXwife","2011-02-20 00:39:51","<INIT>","How do I know what is a good portion of food for my 3 yr old? I used to just think about what looked like a good amount, or take what I would eat and cut it in half. For example, a lunch might be a turkey/cheese sandwhich and some applesause. But then I watch my nephew, who is a year older, and his lunch was only 1/2 a turkey sandwhich - no side, no drink. My son has always been in the higher percentile but I<APO>m still worried about over feeding him."
44,14,"Food Portion","Christopher Tiongson, MD","2011-02-21 22:26:41","<ORG>","Try this from the National Initiative for Children<APO>s Healthcare Quality (NICHQ), This lists suggested portions for ages 2, 4, 6, and 10 yrs for the various food groups. http://www.nichq.org/childhood_obesity/tools/ServingPortionByAge.pdf"
45,15,"5-yr-old Obsessed with Weight","Treebell","2011-02-21 10:32:13","<INIT>","I need some advice (or anyone that has gone through a similar situation to let me know that I<APO>m not alone). My daughter is 5-years-old and is OBSESSED with her weight. She is not stick-skinny like the girls in her class, but her doctor is not concerned with her weight (we have discussed weight with her doctor throughout the years). The taller she gets the more she thins out She eats healthy meals, has healthy snacks (yogurt, grapes, oranges, etc.) and is active (she loves wii fit for kids, takes ballet classes and is usually running around). A boy in her Pre-K class called her fat several weeks ago, and now she is obsessed with her weight and food. She walks around sucking her stomach in so her ribs stick out, then cries when we tell her to be herself. She asks me on a daily basis (several times a day) if she<APO>s losing weight, or if her \"tummy is smaller.\" If the TV is on she<APO>ll make comments like, \"that girl is fat so she doesn<APO>t eat healthy\" or \"I want to look like that girl\" (these are not weight-concious shows - this happens just when watching commercials). She<APO>ll even stop eating halfway through a meal and say, \"I can<APO>t eat anymore or I<APO>ll get fatter.\" I am okay with being health-concious. We eat family meals and encourage physical activities in our home. We tell our kids that healthy foods are necessary fuel for our bodies. But my 11-year-old daughter hasn<APO>t even gone through this obsession with weight. My 5-year-old is a very happy little girl, except when it comes to the weight topic. I<APO>m concerned and her near-hysterics when trying to talk about it are breaking my heart. Thank you in advance."
46,15,"5-yr-old Obsessed with Weight","Haylen_WebMD_Staff","2011-02-23 16:31:37","<ORG>","Thank you so much for posting - what a difficult situation! Did your daughters focus on weight begin only after she was called fat or has she had concerns before? My \"height-weight appropriate\" 6 year old was also called \"fat\" last summer at the pool. It is heartbreaking to hear. She seemed to move past it but spent a few days sucking in her stomach and looking in the mirror too! All of the information I was able to find talked about pre-teens or teenagers with unhealthy body image issues. I<APO>ll ask our expert to chime in - till then, is there a counselor or teacher at your daughters school that might have suggestions? Haylen"
47,15,"5-yr-old Obsessed with Weight","Christopher Tiongson, MD ","2011-02-27 23:49:33"," Haylen_WebMD_Staff","First off, sorry to hear about your daughter<APO>s distress. In general, it is best to keep the focus on healthy eating and activity. It sounds like you are already doing a great job of emphasizing healthy habits. Physical fitness, basically how well your child<APO>s body works as she plays and learns (for exampler her energy level, endurance, strength) and not size is key. Combatting the media<APO>s and society<APO>s biases about physical appearance is not easy. Offering counter-examples of healthy (and realistic) body types might be something to try if she is a fairly mature 5-yr-old. Also maybe showing the graph of BMIs on the growth chart to your daughter might allow you to show her that she is tracking along just fine and that she is in the healthy range. I think this sounds like something that should be explored in depth with your pediatrician or a counselor. It is interesting that her distress seems to be isolated to body image."
48,15,"5-yr-old Obsessed with Weight","Treebell ","2011-02-28 13:39:22"," Christopher Tiongson, MD","Thank you both so much for your replies. Yes, Haylen, it is heartbreaking to watch children at such young ages go through this. I appreciate you sharing your story so I know that I<APO>m not the only parent that has had such a young child be concerned with this. My daughter was oblivious to weight on anyone until this comment was made by the boy in her class. Thanks, Dr. Tiongson, for the great ideas. My daughter is very curious by nature, so she is not letting this weight thing go. She disects every piece of food we put in front of her - asking what<APO>s healthy, and if it<APO>s not healthy, she asks why it<APO>s not. We also keep telling her that treats are okay - in moderation (but we<APO>ve found many treats that are quite healthy - mainly fruit-based). I like that she<APO>s curious and wants to learn, and she is accepting our \"all things in moderation\" policy. I think I will make an appointment with her pediatrician to discuss this issue further, and perhaps ask for her help in monitoring this situation to make sure our kids stay on the right track. Thanks again!"
49,15,"5-yr-old Obsessed with Weight","Haylen_WebMD_Staff ","2011-03-01 00:14:42"," Treebell","My 6 year old had to wear an eye patch when she was 4. We had a few incidents of pointing and rude comments from kids we didn<APO>t know. She was a champ - I was the one with anxiety! Here<APO>s a few body image related articles for parents who might be facing this situation with older children. Eating and Body Image: A Troubled Relationship Moms, Kids, and Body Image Treebell, please continue to check in! Your experience are so valuable for other moms and dads :) Haylen"
50,15,"5-yr-old Obsessed with Weight","Treebell ","2011-04-18 15:31:31"," Haylen_WebMD_Staff","Just wanted to post an update... Before getting in to speak with our daughter<APO>s physician about her obsession with her weight, she caught the flu bug that was going around....or so we thought. She had some vomitting and complained of stomach pains, but she had an ongoing fever that would come for a few days, then go away, then come back. We couldn<APO>t get her to eat and she was sleeping all the time. DH took her to see the physician for her fever, fatigue and stomach pains - they did a urine analysis, strep culture, blood work for mono & a stomach x-ray. It turns out she was severly constipated (I believe due to her sudden diet changes) - so much so that it was causing the fever (usually around 102.5), fatigue and stomach pains. She is now on Mirolax for 2 months and limited to 1-2 cups of dairy per day. She has been feeling better since DH took her to the doctor - I saw her run last week for the first time in a month and I almost cried with relief. This past weekend she started talking about exercising again, but I will say she has been better about the food aspect of her \"diet.\" They are doing a \"Keep Moving\" unit at school right now, so I think that is contributing to her exercise talk. She did lose weight throughout this ordeal, due to her weight obsession and then her illness, but is still at a healthy weight. We are going to keep working with her and the physician (who told us to call any time - they were also concerned) to make sure she stays healthy, but I have to say this has been one of the most trying things I<APO>ve gone through as a parent."
51,15,"5-yr-old Obsessed with Weight","Haylen_WebMD_Staff ","2011-04-18 22:42:36"," Treebell","How stressful! Thank you for taking time to update us on your daughter. I<APO>m so glad she is feeling better - I can practically see the relief in your typed words. Now that I have kids, I understand why my mom would say \"I wish I was sick instead of you!\" It sounds like you have a great doctor too (love the \"call anytime\"). Please keep us updated - I know your information will help others! Haylen"
52,16,"Toddler Diet and IQ - How were YOU fed when you were a kid?","Haylen_WebMD_Staff","2011-02-23 16:04:52","<INIT>","My first daughter is a healthy food champ. My 2 year old, not so much! A WebMD blog post explores a study reporting that kids who ate diets high in processed foods at age 3 had slightly lower IQ scores by age 8 1/2. This made me think of my own diet when I was a child! My mom abused veggies into mush and fruit was from a can. We had lots of chips and other processed snack foods. So....that<APO>s my excuse for not going to Harvard :) I<APO>m so glad there is more emphasis on healthy foods today... How were you fed when you were a child and how are you feeding your kids now? Has there been a shift? Haylen"
53,17,"Why children are so frustrated","strongdesire","2011-03-01 14:24:51","<INIT>","In my search to help my 13 year old daughter with her weight loss, I have come to find out that the food pyrmid you get at the doctor<APO>s office doesn<APO>t help. I have taken her to a dietician just to be told to eat only enough that will fit in the palm of your hand. My daughter is still hungry when the meal is done. What is really needed is a complete week<APO>s menu of kid friendly healthy food choices. The realization is that it is a job making sense out of trying to plan weight loss meal choices that the children will eat and feel satisfied when done. There is no Jenny Craig program for children. So the parents and children get frustrated and give up. They can not eat salid for lunch and supper everyday. Does anyone know of a resource for kid-friendly healthy menus that are geared for weight loss?"
54,17,"Why children are so frustrated","nursingbug","2011-03-01 19:20:02","<ORG>","What does your daughter like to eat? Really, healthy menus for her age are not going to be that different from an adult. I would get a cookbook that focuses on healthy eating, and go through it with her and see what she would like to try. you could get one from the library if cost is a concern. if you go to mypyramid.gov they can give you how many servings of each food group she can have, and I find that helpful. The most difficult part of losing weight can be finding what you like to eat that fits in a plan, and it does take a lot of research. If you think it would be a good idea, I think weight watchers does allow minors if they have a doctors note. That would help her make her own choices, and help her make sense of it all."
